video,frame,id,occlusion,x1,y1,x2,y2,content,state,action,gesture,cross,look
video_0001,01013,0,0,846.69,664.21,864.5,702.41,traffic_light,3.0,,,,
video_0001,01014,0,0,851.28,662.38,870.37,700.57,traffic_light,3.0,,,,
video_0001,01015,0,0,855.13,666.42,874.23,704.61,traffic_light,3.0,,,,
video_0001,01016,0,0,857.49,670.83,875.1,709.02,traffic_light,3.0,,,,
video_0001,01017,0,0,861.38,670.09,880.47,708.28,traffic_light,3.0,,,,
video_0001,01018,0,0,866.88,677.07,885.98,715.26,traffic_light,3.0,,,,
video_0001,01019,0,0,870.3,679.47,887.46,718.4,traffic_light,3.0,,,,
video_0001,01020,0,0,870.8,681.87,888.93,721.23,traffic_light,3.0,,,,
video_0001,01021,0,0,874.08,683.83,892.4,723.78,traffic_light,3.0,,,,
video_0001,01022,0,0,877.09,684.86,895.8,725.39,traffic_light,3.0,,,,
video_0001,01023,0,0,880.1,685.88,899.2,727.0,traffic_light,3.0,,,,
video_0001,01024,0,0,883.12,688.04,901.2,728.6,traffic_light,3.0,,,,
video_0001,01025,0,0,886.34,688.97,905.44,730.1,traffic_light,3.0,,,,
video_0001,01026,0,0,890.79,688.89,909.88,730.03,traffic_light,3.0,,,,
video_0001,01027,0,0,895.24,688.82,914.33,729.95,traffic_light,3.0,,,,
video_0001,01028,0,0,898.1,687.35,917.19,728.47,traffic_light,3.0,,,,
video_0001,01029,0,0,902.39,683.05,921.67,724.49,traffic_light,3.0,,,,
video_0001,01030,0,0,907.87,685.25,927.33,727.01,traffic_light,3.0,,,,
video_0001,01031,0,0,910.99,686.41,930.63,728.49,traffic_light,3.0,,,,
video_0001,01032,0,0,913.52,680.59,933.34,722.99,traffic_light,3.0,,,,
video_0001,01033,0,0,918.29,680.37,938.3,723.1,traffic_light,3.0,,,,
video_0001,01034,0,0,922.24,681.2,942.2,724.4,traffic_light,3.0,,,,
video_0001,01035,0,0,926.03,676.14,946.01,719.67,traffic_light,3.0,,,,
