id,age,critical_point,crossing,crossing_point,exp_start_point,gender,intention_prob,intersection,num_lanes,signalized,traffic_direction
9,2,1111,0,1133,1018,1,0.9666666667,4,4,3,1
10,2,1111,0,1139,1021,2,0.9166666667,4,4,3,1
11,2,1424,0,1463,1334,1,0.95,3,4,0,1
12,2,1424,0,1457,1341,2,0.8666666667,3,4,0,1
13,2,1470,0,1518,1401,1,0.8,3,4,0,1
14,0,1470,0,1516,1406,1,0.7166666667,3,4,0,1
15,2,1595,0,1613,1568,2,0.8666666667,3,4,0,1
16,2,15268,0,15298,15180,2,0.9166666667,4,4,3,1
17,2,1184,-1,1206,1113,2,0.15,0,4,0,1
18,3,16537,0,16553,16447,1,0.85,4,4,3,1
19,2,16549,0,16569,16459,1,0.9166666667,4,4,3,1
20,3,10078,0,10111,9988,1,0.9333333333,4,4,3,1
21,2,10558,0,10567,10533,2,0.7166666667,0,4,0,1
22,2,13721,-1,13776,13631,1,0.35,0,4,0,1
23,2,14048,0,14065,13977,1,0.95,4,4,3,1
24,2,14048,0,14059,13942,2,0.9,4,4,3,1
25,2,13737,-1,13804,13647,2,0.15,0,4,0,1
26,2,13981,0,14010,13891,2,0.8166666667,4,4,3,1
27,2,16413,0,16439,16332,1,0.85,4,4,3,1
28,2,17317,-1,17342,17227,2,0.0833333333,0,4,0,1
29,2,16543,0,16561,16453,2,0.95,4,4,3,1
35,2,6191,-1,6210,6101,2,0.1,0,2,0,0
36,2,7071,-1,7162,6981,1,0.05,0,2,0,0
37,2,14060,-1,14085,13970,2,0.1166666667,4,2,3,0
38,2,14060,-1,14089,13970,2,0.15,4,2,3,0
39,2,4658,0,4708,4568,2,0.7,4,4,3,0
40,2,6247,-1,6258,6219,1,0.15,2,2,0,0
41,2,6832,-1,6866,6725,2,0.2166666667,0,2,0,0
42,2,6832,-1,6863,6756,1,0.3166666667,0,2,0,0
43,2,6590,-1,6734,6486,2,0.2333333333,3,2,3,0
44,2,7120,-1,7186,7030,1,0.0833333333,0,2,0,0
45,2,7092,-1,7295,7017,1,0.05,0,2,0,0
46,2,7092,-1,7172,7002,2,0.0833333333,0,2,0,0
47,2,5174,1,5192,5084,2,0.9,2,2,1,0
48,2,5509,-1,5529,5419,2,0.2333333333,0,2,0,0
49,2,7715,1,7764,7652,1,0.9666666667,0,2,0,0
50,2,7715,1,7758,7617,1,0.9666666667,0,2,0,0
51,2,8091,1,8134,7944,1,0.95,0,2,0,0
52,2,8091,1,8137,7944,1,0.85,0,2,0,0
53,2,8691,0,8753,8601,2,0.9333333333,4,2,3,0
54,2,8868,-1,8888,8778,1,0.85,4,2,3,0
55,2,12288,1,12306,12198,2,0.9,1,4,3,1
56,2,12273,1,12296,12166,1,0.8166666667,1,4,3,1
57,2,12284,1,12319,12194,1,0.85,1,4,3,1
58,2,12226,1,12274,12136,1,0.9833333333,1,4,3,1
59,2,12226,1,12301,12136,2,0.9166666667,1,4,3,1
60,2,11970,0,12327,11880,1,0.5166666667,1,4,3,1
61,2,11970,0,12358,11880,1,0.5666666667,1,4,3,1
62,2,5154,1,5181,5051,2,0.9,2,2,1,0
63,2,14195,-1,14258,14105,2,0.2833333333,0,2,0,0
64,2,15777,1,15790,15687,2,0.9833333333,4,2,3,0
65,2,15885,1,15894,15799,2,1.0,4,2,3,0
66,2,16081,1,16089,16035,2,0.9833333333,4,2,3,0
67,2,11535,1,11556,11445,2,0.9333333333,1,2,3,0
