video,frame,GPS_speed,OBD_speed,accX,accY,accZ,gyroX,gyroY,gyroZ,heading_angle,latitude,longitude,pitch,roll,yaw
video_0001,0,0.04828032,0.0,-0.13,0.87,0.24,0.12,-2.25,-1.38,132.44,43.682966333,-79.420487,0.197,6.175,2.8
video_0001,1,0.04828032,0.0,-0.13,0.87,0.24,0.12,-2.25,-1.38,132.44,43.682966333,-79.420487,0.197,6.175,2.8
video_0001,2,0.04828032,0.0,-0.13,0.87,0.24,0.12,-2.25,-1.38,132.44,43.682966333,-79.420487,0.197,6.175,2.8
video_0001,3,0.16093440000000003,0.0,-0.13,0.87,0.24,0.12,-2.25,-1.38,132.44,43.682965833,-79.420486833,0.197,6.175,2.8
video_0001,4,0.16093440000000003,0.0,-0.06,0.86,0.25,-0.25,0.94,0.06,132.44,43.682965833,-79.420486833,0.199,6.174,2.8
video_0001,5,0.16093440000000003,0.0,-0.06,0.86,0.25,-0.25,0.94,0.06,132.44,43.682965833,-79.420486833,0.199,6.174,2.8
video_0001,6,0.16093440000000003,0.0,-0.06,0.86,0.25,-0.25,0.94,0.06,132.44,43.682965833,-79.420486833,0.199,6.174,2.8
video_0001,7,0.16093440000000003,0.0,-0.12,0.86,0.24,0.56,-1.94,-0.56,132.44,43.682965833,-79.420486833,0.199,6.174,2.8
video_0001,8,0.13679424,0.0,-0.12,0.86,0.235,0.5,-1.97,-0.685,132.44,43.6829657904029,-79.4204866665,0.1995,6.174,2.8
video_0001,9,0.11265408000000002,0.0,-0.12,0.86,0.23,0.44,-2.0,-0.81,132.44,43.682965667,-79.4204865,0.2,6.174,2.8
video_0001,10,0.49889664,0.0,-0.12,0.86,0.23,0.44,-2.0,-0.81,132.44,43.682965,-79.420486667,0.2,6.174,2.8
video_0001,11,0.49889664,0.0,-0.12,0.86,0.23,0.44,-2.0,-0.81,132.44,43.682965,-79.420486667,0.2,6.174,2.8
video_0001,12,0.49889664,0.0,-0.12,0.86,0.23,0.44,-2.0,-0.81,132.44,43.682965,-79.420486667,0.2,6.174,2.8
video_0001,13,0.49889664,0.0,-0.07,0.86,0.24,-0.19,0.31,-0.12,132.44,43.682965,-79.420486667,0.201,6.174,2.8
video_0001,14,0.54717696,0.0,-0.07,0.86,0.24,-0.19,0.31,-0.12,132.44,43.682964667,-79.420486667,0.201,6.174,2.8
video_0001,15,0.54717696,0.0,-0.07,0.86,0.24,-0.19,0.31,-0.12,132.44,43.682964667,-79.420486667,0.201,6.174,2.8
video_0001,16,0.54717696,0.0,-0.04,0.86,0.27,-0.38,0.69,0.0,132.44,43.682964667,-79.420486667,0.201,6.174,2.8
